threshold,acc,f1,balanced_acc,precision,recall,tp,tn,fp,fn
0.0,0.36,0.5294117647058824,0.5,0.36,1.0,36,0,64,0
0.143065095,0.46,0.5263157894736842,0.5416666666666667,0.38461538461538464,0.8333333333333334,30,16,48,6
0.317529175,0.47,0.5309734513274337,0.5494791666666667,0.38961038961038963,0.8333333333333334,30,17,47,6
0.35778442,0.48,0.5357142857142857,0.5572916666666667,0.39473684210526316,0.8333333333333334,30,18,46,6
0.38777045,0.49,0.5405405405405406,0.5651041666666667,0.4,0.8333333333333334,30,19,45,6
0.41596427999999996,0.5,0.5454545454545455,0.5729166666666667,0.40540540540540543,0.8333333333333334,30,20,44,6
0.42443069499999997,0.51,0.5504587155963302,0.5807291666666667,0.410958904109589,0.8333333333333334,30,21,43,6
0.435621855,0.52,0.5555555555555556,0.5885416666666667,0.4166666666666667,0.8333333333333334,30,22,42,6
0.464378975,0.53,0.5607476635514019,0.5963541666666667,0.4225352112676056,0.8333333333333334,30,23,41,6
0.490529715,0.54,0.5660377358490566,0.6041666666666667,0.42857142857142855,0.8333333333333334,30,24,40,6
0.5011707950000001,0.56,0.576923076923077,0.6197916666666667,0.4411764705882353,0.8333333333333334,30,26,38,6
0.52048275,0.57,0.5825242718446602,0.6276041666666667,0.44776119402985076,0.8333333333333334,30,27,37,6
0.54397023,0.58,0.5882352941176471,0.6354166666666667,0.45454545454545453,0.8333333333333334,30,28,36,6
0.55674907,0.59,0.594059405940594,0.6432291666666667,0.46153846153846156,0.8333333333333334,30,29,35,6
0.564860065,0.6,0.6,0.6510416666666667,0.46875,0.8333333333333334,30,30,34,6
0.5680458399999999,0.61,0.6060606060606061,0.6588541666666667,0.47619047619047616,0.8333333333333334,30,31,33,6
0.57512367,0.62,0.6122448979591837,0.6666666666666667,0.4838709677419355,0.8333333333333334,30,32,32,6
0.589457935,0.63,0.6185567010309279,0.6744791666666667,0.4918032786885246,0.8333333333333334,30,33,31,6
0.60004692,0.64,0.625,0.6822916666666667,0.5,0.8333333333333334,30,34,30,6
0.604052465,0.65,0.631578947368421,0.6901041666666667,0.5084745762711864,0.8333333333333334,30,35,29,6
0.6061727450000001,0.66,0.6382978723404256,0.6979166666666667,0.5172413793103449,0.8333333333333334,30,36,28,6
0.60982568,0.65,0.6236559139784946,0.6840277777777778,0.5087719298245614,0.8055555555555556,29,36,28,7
0.6260449100000001,0.66,0.6304347826086957,0.6918402777777778,0.5178571428571429,0.8055555555555556,29,37,27,7
0.64479898,0.67,0.6373626373626373,0.6996527777777778,0.5272727272727272,0.8055555555555556,29,38,26,7
0.6497823549999999,0.68,0.6444444444444446,0.7074652777777778,0.5370370370370371,0.8055555555555556,29,39,25,7
0.65328316,0.69,0.651685393258427,0.7152777777777778,0.5471698113207547,0.8055555555555556,29,40,24,7
0.6628821949999999,0.7,0.6590909090909091,0.7230902777777778,0.5576923076923077,0.8055555555555556,29,41,23,7
0.67056044,0.71,0.6666666666666667,0.7309027777777778,0.5686274509803921,0.8055555555555556,29,42,22,7
0.68299061,0.7,0.6511627906976745,0.7170138888888888,0.56,0.7777777777777778,28,42,22,8
0.694250985,0.69,0.6352941176470588,0.703125,0.5510204081632653,0.75,27,42,22,9
0.69646729,0.67,0.6024096385542169,0.6753472222222222,0.5319148936170213,0.6944444444444444,25,42,22,11
0.69859072,0.66,0.5853658536585366,0.6614583333333333,0.5217391304347826,0.6666666666666666,24,42,22,12
0.70747803,0.65,0.5679012345679012,0.6475694444444444,0.5111111111111111,0.6388888888888888,23,42,22,13
0.7164607949999999,0.64,0.55,0.6336805555555556,0.5,0.6111111111111112,22,42,22,14
0.7172613800000001,0.65,0.5569620253164557,0.6414930555555556,0.5116279069767442,0.6111111111111112,22,43,21,14
0.72306728,0.66,0.5641025641025642,0.6493055555555556,0.5238095238095238,0.6111111111111112,22,44,20,14
0.73009024,0.67,0.5714285714285715,0.6571180555555556,0.5365853658536586,0.6111111111111112,22,45,19,14
0.73586759,0.66,0.5526315789473685,0.6432291666666667,0.525,0.5833333333333334,21,45,19,15
0.7435667050000001,0.65,0.5333333333333333,0.6293402777777778,0.5128205128205128,0.5555555555555556,20,45,19,16
0.74974388,0.66,0.5405405405405405,0.6371527777777778,0.5263157894736842,0.5555555555555556,20,46,18,16
0.752777495,0.65,0.5205479452054794,0.6232638888888888,0.5135135135135135,0.5277777777777778,19,46,18,17
0.75859964,0.66,0.5277777777777778,0.6310763888888888,0.5277777777777778,0.5277777777777778,19,47,17,17
0.765177715,0.67,0.5352112676056338,0.6388888888888888,0.5428571428571428,0.5277777777777778,19,48,16,17
0.76790717,0.66,0.5142857142857143,0.625,0.5294117647058824,0.5,18,48,16,18
0.7716561900000001,0.65,0.49275362318840576,0.6111111111111112,0.5151515151515151,0.4722222222222222,17,48,16,19
0.7743406150000001,0.66,0.4999999999999999,0.6189236111111112,0.53125,0.4722222222222222,17,49,15,19
0.777854445,0.67,0.5074626865671641,0.6267361111111112,0.5483870967741935,0.4722222222222222,17,50,14,19
0.7823798150000001,0.66,0.4848484848484848,0.6128472222222222,0.5333333333333333,0.4444444444444444,16,50,14,20
0.784274015,0.65,0.46153846153846156,0.5989583333333334,0.5172413793103449,0.4166666666666667,15,50,14,21
0.790557645,0.64,0.43750000000000006,0.5850694444444444,0.5,0.3888888888888889,14,50,14,22
0.7964760049999999,0.65,0.4444444444444444,0.5928819444444444,0.5185185185185185,0.3888888888888889,14,51,13,22
0.8027367249999999,0.66,0.45161290322580644,0.6006944444444444,0.5384615384615384,0.3888888888888889,14,52,12,22
0.813851455,0.67,0.45901639344262296,0.6085069444444444,0.56,0.3888888888888889,14,53,11,22
0.82274403,0.66,0.43333333333333335,0.5946180555555556,0.5416666666666666,0.3611111111111111,13,53,11,23
0.827623,0.65,0.4067796610169491,0.5807291666666666,0.5217391304347826,0.3333333333333333,12,53,11,24
0.83295517,0.64,0.37931034482758624,0.5668402777777778,0.5,0.3055555555555556,11,53,11,25
0.841069125,0.63,0.3508771929824561,0.5529513888888888,0.47619047619047616,0.2777777777777778,10,53,11,26
0.8449873,0.62,0.32142857142857145,0.5390625,0.45,0.25,9,53,11,27
0.849115665,0.63,0.32727272727272727,0.546875,0.47368421052631576,0.25,9,54,10,27
0.85357159,0.64,0.3333333333333333,0.5546875,0.5,0.25,9,55,9,27
0.857044845,0.65,0.33962264150943394,0.5625,0.5294117647058824,0.25,9,56,8,27
0.860411965,0.64,0.30769230769230765,0.5486111111111112,0.5,0.2222222222222222,8,56,8,28
0.866190925,0.63,0.27450980392156865,0.5347222222222222,0.4666666666666667,0.19444444444444445,7,56,8,29
0.872933355,0.64,0.28,0.5425347222222222,0.5,0.19444444444444445,7,57,7,29
0.8793705,0.63,0.2448979591836735,0.5286458333333334,0.46153846153846156,0.16666666666666666,6,57,7,30
0.8848181749999999,0.62,0.20833333333333334,0.5147569444444444,0.4166666666666667,0.1388888888888889,5,57,7,31
0.8861923700000001,0.61,0.1702127659574468,0.5008680555555556,0.36363636363636365,0.1111111111111111,4,57,7,32
0.8883629500000001,0.62,0.1739130434782609,0.5086805555555556,0.4,0.1111111111111111,4,58,6,32
0.89007059,0.61,0.13333333333333333,0.4947916666666667,0.3333333333333333,0.08333333333333333,3,58,6,33
0.89104065,0.6,0.0909090909090909,0.4809027777777778,0.25,0.05555555555555555,2,58,6,34
0.90096111,0.59,0.046511627906976744,0.4670138888888889,0.14285714285714285,0.027777777777777776,1,58,6,35
0.911121225,0.58,0.0,0.453125,0.0,0.0,0,58,6,36
0.913939225,0.59,0.0,0.4609375,0.0,0.0,0,59,5,36
0.92161392,0.6,0.0,0.46875,0.0,0.0,0,60,4,36
0.93206287,0.61,0.0,0.4765625,0.0,0.0,0,61,3,36
0.94303883,0.62,0.0,0.484375,0.0,0.0,0,62,2,36
0.953102575,0.63,0.0,0.4921875,0.0,0.0,0,63,1,36
0.9570077100000001,0.64,0.0,0.5,0.0,0.0,0,64,0,36
