threshold,accuracy,f1,tn,fp,fn,tp,similarity_type
0.0,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.01,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.02,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.03,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.04,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.05,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.06,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.07,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.08,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.09,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.1,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.11,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.12,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.13,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.14,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.15,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.16,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.17,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.18,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.19,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.2,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.21,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.22,0.45666666666666667,0.6270022883295194,0,163,0,137,feature_similarity
0.23,0.46,0.6284403669724771,1,162,0,137,feature_similarity
0.24,0.46,0.6284403669724771,1,162,0,137,feature_similarity
0.25,0.46,0.6284403669724771,1,162,0,137,feature_similarity
0.26,0.46,0.6284403669724771,1,162,0,137,feature_similarity
0.27,0.47333333333333333,0.6291079812206573,8,155,3,134,feature_similarity
0.28,0.47333333333333333,0.6291079812206573,8,155,3,134,feature_similarity
0.29,0.47333333333333333,0.6291079812206573,8,155,3,134,feature_similarity
0.3,0.4666666666666667,0.6226415094339622,8,155,5,132,feature_similarity
0.31,0.4666666666666667,0.6226415094339622,8,155,5,132,feature_similarity
0.32,0.4666666666666667,0.6226415094339622,8,155,5,132,feature_similarity
0.33,0.4666666666666667,0.6226415094339622,8,155,5,132,feature_similarity
0.34,0.53,0.6412213740458015,33,130,11,126,feature_similarity
0.35,0.53,0.6412213740458015,33,130,11,126,feature_similarity
0.36,0.53,0.6412213740458015,33,130,11,126,feature_similarity
0.37,0.53,0.6412213740458015,33,130,11,126,feature_similarity
0.38,0.5633333333333334,0.6543535620052771,45,118,13,124,feature_similarity
0.39,0.5633333333333334,0.6543535620052771,45,118,13,124,feature_similarity
0.4,0.5633333333333334,0.6543535620052771,45,118,13,124,feature_similarity
0.41,0.5633333333333334,0.6543535620052771,45,118,13,124,feature_similarity
0.42,0.5866666666666667,0.6630434782608695,54,109,15,122,feature_similarity
0.43,0.5866666666666667,0.6630434782608695,54,109,15,122,feature_similarity
0.44,0.5833333333333334,0.6575342465753424,55,108,17,120,feature_similarity
0.45,0.6933333333333334,0.7051282051282052,98,65,27,110,feature_similarity
0.46,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.47,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.48,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.49,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.5,0.6966666666666667,0.7035830618892508,101,62,29,108,feature_similarity
0.51,0.7,0.7,105,58,32,105,feature_similarity
0.52,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.53,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.54,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.55,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.56,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.57,0.7,0.6959459459459459,107,56,34,103,feature_similarity
0.58,0.7833333333333333,0.7085201793721974,156,7,58,79,feature_similarity
0.59,0.78,0.7027027027027027,156,7,59,78,feature_similarity
0.6,0.78,0.7027027027027027,156,7,59,78,feature_similarity
0.61,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.62,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.63,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.64,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.65,0.79,0.7096774193548387,160,3,60,77,feature_similarity
0.66,0.78,0.6915887850467289,160,3,63,74,feature_similarity
0.67,0.7766666666666666,0.6824644549763034,161,2,65,72,feature_similarity
0.68,0.7766666666666666,0.6824644549763034,161,2,65,72,feature_similarity
0.69,0.7766666666666666,0.6824644549763034,161,2,65,72,feature_similarity
0.7,0.7766666666666666,0.6824644549763034,161,2,65,72,feature_similarity
0.71,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.72,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.73,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.74,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.75,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.76,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.77,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.78,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.79,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.8,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.81,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.82,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.83,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.84,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.85,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.86,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.87,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.88,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.89,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.9,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.91,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.92,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.93,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.94,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.95,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.96,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.97,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.98,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.99,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
1.0,0.7633333333333333,0.6570048309178744,161,2,69,68,feature_similarity
0.0,0.45666666666666667,0.6270022883295194,0,163,0,137,review_similarity
0.01,0.45666666666666667,0.6270022883295194,0,163,0,137,review_similarity
0.02,0.4633333333333333,0.6298850574712643,2,161,0,137,review_similarity
0.03,0.48,0.6372093023255814,7,156,0,137,review_similarity
0.04,0.5,0.6394230769230769,17,146,4,133,review_similarity
0.05,0.5266666666666666,0.6414141414141414,31,132,10,127,review_similarity
0.06,0.5333333333333333,0.6276595744680851,42,121,19,118,review_similarity
0.07,0.56,0.6353591160220995,53,110,22,115,review_similarity
0.08,0.5766666666666667,0.6340057636887608,63,100,27,110,review_similarity
0.09,0.6,0.6385542168674698,74,89,31,106,review_similarity
0.1,0.5866666666666667,0.6125,78,85,39,98,review_similarity
0.11,0.5766666666666667,0.5889967637540453,82,81,46,91,review_similarity
0.12,0.6,0.5862068965517241,95,68,52,85,review_similarity
0.13,0.6033333333333334,0.5703971119133574,102,61,58,79,review_similarity
0.14,0.6,0.5488721804511278,107,56,64,73,review_similarity
0.15,0.6166666666666667,0.5525291828793775,114,49,66,71,review_similarity
0.16,0.6033333333333334,0.5220883534136547,116,47,72,65,review_similarity
0.17,0.6,0.5081967213114754,118,45,75,62,review_similarity
0.18,0.6066666666666667,0.5,123,40,78,59,review_similarity
0.19,0.61,0.4978540772532189,125,38,79,58,review_similarity
0.2,0.6,0.4642857142857143,128,35,85,52,review_similarity
0.21,0.5866666666666667,0.4205607476635514,131,32,92,45,review_similarity
0.22,0.59,0.41148325358851673,134,29,94,43,review_similarity
0.23,0.58,0.37623762376237624,136,27,99,38,review_similarity
0.24,0.5766666666666667,0.36180904522613067,137,26,101,36,review_similarity
0.25,0.57,0.3316062176165803,139,24,105,32,review_similarity
0.26,0.5666666666666667,0.3010752688172043,142,21,109,28,review_similarity
0.27,0.5633333333333334,0.27624309392265195,144,19,112,25,review_similarity
0.28,0.5566666666666666,0.2569832402234637,144,19,114,23,review_similarity
0.29,0.55,0.23728813559322035,144,19,116,21,review_similarity
0.3,0.5366666666666666,0.17751479289940827,146,17,122,15,review_similarity
0.31,0.5333333333333333,0.16666666666666666,146,17,123,14,review_similarity
0.32,0.53,0.15568862275449102,146,17,124,13,review_similarity
0.33,0.5266666666666666,0.14457831325301204,146,17,125,12,review_similarity
0.34,0.53,0.13496932515337423,148,15,126,11,review_similarity
0.35,0.5233333333333333,0.11180124223602485,148,15,128,9,review_similarity
0.36,0.52,0.08860759493670886,149,14,130,7,review_similarity
0.37,0.52,0.08860759493670886,149,14,130,7,review_similarity
0.38,0.5233333333333333,0.08917197452229299,150,13,130,7,review_similarity
0.39,0.52,0.07692307692307693,150,13,131,6,review_similarity
0.4,0.52,0.07692307692307693,150,13,131,6,review_similarity
0.41,0.52,0.07692307692307693,150,13,131,6,review_similarity
0.42,0.5233333333333333,0.07741935483870968,151,12,131,6,review_similarity
0.43,0.5233333333333333,0.07741935483870968,151,12,131,6,review_similarity
0.44,0.5233333333333333,0.07741935483870968,151,12,131,6,review_similarity
0.45,0.5233333333333333,0.07741935483870968,151,12,131,6,review_similarity
0.46,0.5266666666666666,0.07792207792207792,152,11,131,6,review_similarity
0.47,0.5266666666666666,0.07792207792207792,152,11,131,6,review_similarity
0.48,0.5233333333333333,0.06535947712418301,152,11,132,5,review_similarity
0.49,0.5233333333333333,0.06535947712418301,152,11,132,5,review_similarity
0.5,0.5266666666666666,0.06578947368421052,153,10,132,5,review_similarity
0.51,0.5266666666666666,0.06578947368421052,153,10,132,5,review_similarity
0.52,0.5266666666666666,0.06578947368421052,153,10,132,5,review_similarity
0.53,0.5233333333333333,0.052980132450331126,153,10,133,4,review_similarity
0.54,0.5233333333333333,0.052980132450331126,153,10,133,4,review_similarity
0.55,0.5266666666666666,0.05333333333333334,154,9,133,4,review_similarity
0.56,0.5266666666666666,0.05333333333333334,154,9,133,4,review_similarity
0.57,0.5233333333333333,0.040268456375838924,154,9,134,3,review_similarity
0.58,0.5233333333333333,0.040268456375838924,154,9,134,3,review_similarity
0.59,0.5233333333333333,0.040268456375838924,154,9,134,3,review_similarity
0.6,0.5233333333333333,0.040268456375838924,154,9,134,3,review_similarity
0.61,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.62,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.63,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.64,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.65,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.66,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.67,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.68,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.69,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.7,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.71,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.72,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.73,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.74,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.75,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.76,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.77,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.78,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.79,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.8,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.81,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.82,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.83,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.84,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.85,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.86,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.87,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.88,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.89,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.9,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.91,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.92,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.93,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.94,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.95,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.96,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.97,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.98,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
0.99,0.5266666666666666,0.04054054054054054,155,8,134,3,review_similarity
1.0,0.5333333333333333,0.0410958904109589,157,6,134,3,review_similarity
0.0,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity
0.01,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity
0.02,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity
0.03,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity
0.04,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity
0.05,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity
0.06,0.4633333333333333,0.6298850574712643,2,161,0,137,combined_similarity
0.07,0.4666666666666667,0.631336405529954,3,160,0,137,combined_similarity
0.08,0.47,0.6310904872389791,5,158,1,136,combined_similarity
0.09,0.48333333333333334,0.6352941176470588,10,153,2,135,combined_similarity
0.1,0.5,0.6411483253588517,16,147,3,134,combined_similarity
0.11,0.52,0.6504854368932039,22,141,3,134,combined_similarity
0.12,0.5366666666666666,0.6533665835411472,30,133,6,131,combined_similarity
0.13,0.56,0.65625,42,121,11,126,combined_similarity
0.14,0.5733333333333334,0.6521739130434783,52,111,17,120,combined_similarity
0.15,0.6,0.6590909090909091,64,99,21,116,combined_similarity
0.16,0.61,0.6548672566371682,72,91,26,111,combined_similarity
0.17,0.62,0.6503067484662577,80,83,31,106,combined_similarity
0.18,0.6366666666666667,0.6561514195583596,87,76,33,104,combined_similarity
0.19,0.6366666666666667,0.6426229508196721,93,70,39,98,combined_similarity
0.2,0.6333333333333333,0.6258503401360545,98,65,45,92,combined_similarity
0.21,0.6333333333333333,0.6180555555555556,101,62,48,89,combined_similarity
0.22,0.6433333333333333,0.6164874551971327,107,56,51,86,combined_similarity
0.23,0.6366666666666667,0.5947955390334573,111,52,57,80,combined_similarity
0.24,0.6466666666666666,0.5984848484848485,115,48,58,79,combined_similarity
0.25,0.64,0.578125,118,45,63,74,combined_similarity
0.26,0.6466666666666666,0.5725806451612904,123,40,66,71,combined_similarity
0.27,0.66,0.5785123966942148,128,35,67,70,combined_similarity
0.28,0.6433333333333333,0.5407725321888412,130,33,74,63,combined_similarity
0.29,0.6433333333333333,0.5201793721973094,135,28,79,58,combined_similarity
0.3,0.64,0.5,138,25,83,54,combined_similarity
0.31,0.6366666666666667,0.4834123222748815,140,23,86,51,combined_similarity
0.32,0.6266666666666667,0.4563106796116505,141,22,90,47,combined_similarity
0.33,0.6266666666666667,0.43434343434343436,145,18,94,43,combined_similarity
0.34,0.62,0.41836734693877553,145,18,96,41,combined_similarity
0.35,0.61,0.39378238341968913,145,18,99,38,combined_similarity
0.36,0.6066666666666667,0.3723404255319149,147,16,102,35,combined_similarity
0.37,0.6,0.3548387096774194,147,16,104,33,combined_similarity
0.38,0.59,0.32786885245901637,147,16,107,30,combined_similarity
0.39,0.5733333333333334,0.2808988764044944,147,16,112,25,combined_similarity
0.4,0.5666666666666667,0.26136363636363635,147,16,114,23,combined_similarity
0.41,0.56,0.2413793103448276,147,16,116,21,combined_similarity
0.42,0.5533333333333333,0.22093023255813954,147,16,118,19,combined_similarity
0.43,0.55,0.19161676646706588,149,14,121,16,combined_similarity
0.44,0.54,0.15853658536585366,149,14,124,13,combined_similarity
0.45,0.54,0.15853658536585366,149,14,124,13,combined_similarity
0.46,0.5366666666666666,0.147239263803681,149,14,125,12,combined_similarity
0.47,0.54,0.14814814814814814,150,13,125,12,combined_similarity
0.48,0.5366666666666666,0.13664596273291926,150,13,126,11,combined_similarity
0.49,0.5333333333333333,0.125,150,13,127,10,combined_similarity
0.5,0.5333333333333333,0.125,150,13,127,10,combined_similarity
0.51,0.5366666666666666,0.12578616352201258,151,12,127,10,combined_similarity
0.52,0.5366666666666666,0.12578616352201258,151,12,127,10,combined_similarity
0.53,0.5333333333333333,0.11392405063291139,151,12,128,9,combined_similarity
0.54,0.5333333333333333,0.10256410256410256,152,11,129,8,combined_similarity
0.55,0.53,0.09032258064516129,152,11,130,7,combined_similarity
0.56,0.53,0.09032258064516129,152,11,130,7,combined_similarity
0.57,0.53,0.09032258064516129,152,11,130,7,combined_similarity
0.58,0.53,0.09032258064516129,152,11,130,7,combined_similarity
0.59,0.5266666666666666,0.07792207792207792,152,11,131,6,combined_similarity
0.6,0.53,0.0784313725490196,153,10,131,6,combined_similarity
0.61,0.5333333333333333,0.07894736842105263,154,9,131,6,combined_similarity
0.62,0.5333333333333333,0.07894736842105263,154,9,131,6,combined_similarity
0.63,0.5333333333333333,0.07894736842105263,154,9,131,6,combined_similarity
0.64,0.53,0.06622516556291391,154,9,132,5,combined_similarity
0.65,0.5266666666666666,0.05333333333333334,154,9,133,4,combined_similarity
0.66,0.5266666666666666,0.05333333333333334,154,9,133,4,combined_similarity
0.67,0.5266666666666666,0.05333333333333334,154,9,133,4,combined_similarity
0.68,0.5266666666666666,0.05333333333333334,154,9,133,4,combined_similarity
0.69,0.53,0.053691275167785234,155,8,133,4,combined_similarity
0.7,0.53,0.053691275167785234,155,8,133,4,combined_similarity
0.71,0.53,0.053691275167785234,155,8,133,4,combined_similarity
0.72,0.53,0.053691275167785234,155,8,133,4,combined_similarity
0.73,0.53,0.053691275167785234,155,8,133,4,combined_similarity
0.74,0.53,0.053691275167785234,155,8,133,4,combined_similarity
0.75,0.53,0.053691275167785234,155,8,133,4,combined_similarity
0.76,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.77,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.78,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.79,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.8,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.81,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.82,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.83,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.84,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.85,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.86,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.87,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.88,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.89,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.9,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.91,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.92,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.93,0.5266666666666666,0.04054054054054054,155,8,134,3,combined_similarity
0.94,0.53,0.04081632653061224,156,7,134,3,combined_similarity
0.95,0.5333333333333333,0.0410958904109589,157,6,134,3,combined_similarity
0.96,0.54,0.041666666666666664,159,4,134,3,combined_similarity
0.97,0.5433333333333333,0.04195804195804196,160,3,134,3,combined_similarity
0.98,0.55,0.0425531914893617,162,1,134,3,combined_similarity
0.99,0.55,0.02877697841726619,163,0,135,2,combined_similarity
1.0,0.5466666666666666,0.014492753623188406,163,0,136,1,combined_similarity
